Japanese text;English text
ゲームセンターにメダルコーナーが;A medal corner in a video arcade.
設置;establishment
ボーリング場;bowling alley
８０．５９．８３;80.59.83
激しいスポーツはしない;I don't do strenuous sports.
落ち着ける音楽が好み;Prefer calming music
コンサート会場で、待ち合わせ』;"Meet me at the concert venue""."
ゲームセンターで、待ち合わせ』;"Meeting up at the arcade""."
ＬＡ（??じ?;LA (?????????????????) The following is a list of the most popular types of LA (?).
コンサート会場で、;At the concert venue,
コン?ー???;Con? Con?
確かこの場所だつた。』;"This is the place, I believe."""
ゲームセンターだつたかな。』;"I think it was an arcade."""
?ー??ン?ー;? ? ? n?
ビデオゲームコーナーに行く。』;"I go to the video game section."""
メダルゲームコーナーに行く。』;"I go to the medal game section."""
ビデオゲームコーナー;Video Game Corner
? ?  ???;? ?  ?????
別にかまわないよ。』;I don't mind.
最近は、女の子も結構来てるよ。』;"Lately, we've had quite a few girls coming in."""
不良になつちゃう？』;"Will I turn into a punk?"""
ガーギー画集輸入版』;"The Gurgi Art Book, Imported Edition."""
香水』;Perfume
水中メガネ』;"Underwater Glasses"""
??? ????????;????? ????????
ボーリング場で、待ち合わせ』;Meet me at the bowling alley.
ショッピング街で、待ち合わせ』;"Meeting in the shopping district""."
ボーリング場で、;At the bowling alley,
?‐????;? -????
片桐さんには絶対取れないね。』;"Katagiri-san will never get it."""
片桐さんなら取れるつて。』;Katagiri-san will get it.
何とかなるんじゃない。』;"I'm sure we can work something out."""
?ーリン??;? Lin?
?ョッ?ン??;"? The ""M"" in ""M"" is a shortened version of the ""M"" in ""M"". ?"
もう満足した？』;"Are you satisfied yet?"""
愛のメロディ;Melody of Love
Ｂｅｅｓ;Bees
次号に期待してくれ！;Stay tuned for the next issue!
プ??タリウム;P? thallium (Pt)
いいね。行こうか。』;I like it. Let's go.
ジャンク屋;junkman
?ャ???;? ??
女のくせにおかしいぜ。』;"You're crazy, even for a woman."""
フーン好きなんだ。』;"I like hoon."""
サイバーな感覚だよね。』;"It's a cyber sensation."""
?ラ??リ?ム;? La? R? Rhythm?
そうだね、そう思うよ。』;"Yes, I think so."""
何億年も前の輝きなんだよね。』;"It's a sparkle that's hundreds of millions of years old."""
あんなのただの光だよ。』;That's just light.
シ??ピング街;C? Ping Street
貧血の薬』;"Anemia Medication"""
シェークスピア全集』;"The Complete Works of Shakespeare"""
俺は、ちょつと怖かつたよ。』;I was a little scared.
あれで？おかしいんじゃない。』;With that? It's not right.
確かにすごかつたね。』;"It sure was amazing."""
校舎裏;back of school building
? ??;? ??
美樹原愛;love of Mikihara
早乙??美;Early Bird? beauty
?樹原愛;? Kihara Love
??女優美;? beauty of being an actress
早乙女??;Saotome?
女の子からの評?;The girls' reviews?
Ｐ;p
９月 ５日;September 5
７８．５８．７９;78.58.79
無所属;non-partisan
動物のぬいぐるみを集めてる;I collect stuffed animals.
赤面症で、男子の友達は少ない;Blushing, few boy friends.
それじゃ、絵でも描こうか？』;"Shall we paint then?"""
そうだね。見て行こうよ。』;"I agree. Let's go take a look."""
幽霊でも出てきそうだよ。』;"It's going to be haunted."""
スピード／キング;Speed/King
ＳＮＡＣＫ;SNACK
遊園地に?叫マシン完成;Amusement Park? Screaming Machine Completed
美術館で彫?展開催;Sculpture Exhibition at the Museum of Fine Arts, Tokyo Exhibition Held at the Museum of Fine Arts
遊園地に絶叫マシン完成;Screaming machine completed at amusement park
美術館で彫刻展開催;Sculpture exhibition held at the museum
??見晴;? view
彫塑展;Exhibition of Sculpture
うん、素晴らしい作品だね。』;"Yeah, it's a great piece."""
俺は、隣のやつがいいな。』;"I like the one next door."""
これはレプリカなのに？』;"Even though this is a replica?"""
フ??????;F??????
そうだね、奇麗だつたね。』;"Yes, it was beautiful."""
進路指導;guidance counseling
俺は、進学したい。;I want to go on to higher education.
俺は、就職したい。;I want to get a job.
他の人の進路を調べる。;Examine the paths of others.
??消し;? eraser
美樹原?;Mikihara?
美??愛;Beauty? love
??原愛;? Hara Ai
カラ???;Kara?
カラオケ;karaoke (singing to taped accompaniment)
ＢＯＸ内;Inside BOX
ＢＯＸ?;BOX?
８１．５９．８３;81.59.83
趣味は読書で、文学作品を好む;Reading, prefers literary works
全然駄目、基礎からやり直したら？』;"Not at all. Why don't you start over from the basics?"""
わりといいんじゃない。』;"It's rather good."""
上手だつたよ。プロみたい。』;You were very good. You look like a pro.
?ラ??;? La?
ファンシーショッ?;Fancy Shoppe?
うん、詩織によく似合うよ。』;Yes, it looks good on you.
でも、あれも結構可愛いよ。』;"But that one's pretty cute, too."""
闘魂ヒストリー大全』;"A Comprehensive History of the Fighting Spirit"""
ビー玉』;"Marbles"""
リップ』;"Lip"""
８５．５７．８６;85.57.86
アクセサリーを集めてるらしい;I heard he collects jewelry.
公園に行くのが好きなようだ;He likes to go to the park.
ＢＡＮＰＯ;BANPO
８月３日に?社で縁日があります;On August 3, there will be a fair at ? There will be a fair at the shrine.
８月３日に神社で縁日があります;There will be a fair at the shrine on August 3.
動物園で、待ち合わせ』;"Meet me at the zoo."""
スタジアムで、待ち合わせ』;Meet me at the stadium.
スタジアムで、;Stadium,
でも、痛そうだよ。』;"But it's going to hurt."""
インチキに決まつてるよ。』;It's a sham, I'm sure of it.
メラメラくるぜ。』;"I'm getting melanin'."""
でも、目は怖いよ。』;"But your eyes scare me."""
すげー、可愛くねぇ。』;"Wow, that's not pretty."""
本当。可愛いよね。』;"Really. It's cute."""
７９．５８．８０;79.58.80
幽霊話とかの話が好きらしい;They like to talk about ghost stories and stuff.
うるさい音楽は、嫌いらしい;They don't like loud music.
美樹原さんと―緒だからね。』;Don't mention it to Mikihara.
何か気分がいいね。』;"Something feels good."""
散歩は、お腹がすいてくるね。』;"The walk is making me hungry."""
この絵、如月さんに似てるね。』;"This picture looks like Kisaragi's."""
昇り龍乱れ七変化つて奴だね。』;It's like the seven changes of the rising dragon.
線香花火の方がいいな。』;"I prefer sparklers."""
本当、奇麗だね。』;It's really beautiful.
ウサギの手ぶくろ』;Rabbit Handbag
力士のぬいぐるみ』;"Stuffed Rikishi"""
なまこ』;Sea cucumber
ポシェット』;"Pochette"""
イヤリング』;Earrings
ホラー小説』;"A Horror Story."""
おめん;face
ｐｒｆ;prf
美術館でガーギー展が開催;Gurgi Exhibition at the Museum of Fine Arts
ガーギー展;Gurgi Exhibition
８６．６０．８７;86.60.87
水泳の授業の日は休みがち;Tends to be absent on swim class days
グロテスクな絵、ポップスが好み;Grotesque pictures, pop music preferred.
通信カラオケセット』;"Communication Karaoke Sets""."
迷彩服』;"Camouflage"""
ムンクの叫びの人形』;Munch's Screaming Dolls
奇麗な花だねぇ。』;They're beautiful flowers.
コ??ー???;Co? Co?
ファ??ー?ョッフ;Fa? F? shortcut to the top
この弾丸が付いたのはどう？』;"How about this one with bullets on it?"""
このコアラのはどう？』;"How about this koala?"""
このカラフルなのはどう？』;"How about this colorful one?"""
恋と青春の旅立ち;Departure of love and youth
リンスー;rinseau
遊園地に体感マシーン;Experience machines in amusement parks
バーチ??シップが完成;Birch? Ship completed
バーチャルシップが完成;Virtual ship completed.
????ョー;???? I'm not sure if this is a good idea or not.
ス?ート?;S? The first floor of the building is located on the left side of the building.
図書館で、待ち合わせ』;Meet me at the library.
図書館だつたかな。』;"I think it's a library."""
Ｌ;l
よし、俺も頑張るぞ。』;"Okay, I'll do my best."""
くそ、いい気になりやがつて。』;"Damn, he's got a good attitude."""
片桐さん、うますぎだよ。』;Katagiri-san, you are too good.
ワンピース』;"ONE PIECE"""
漫画本』;The Cartoon Book
文芸小説』;"Literary Fiction."""
大学に試験を受けに行く;Go to the university to take the exam.
やめて、就職試験を受けに行く;Stop and go take a job test.
―流大学を受験する;-Take an entrance exam to a top-notch university
二流大学を受験する;Take an entrance exam at a second-rate university
三流大学を受験する;Take an entrance exam at a third-rate university
いい;profitable (e.g. deal, business offer, etc.)
鏡魅羅;Kagami Mira
?集院;? congregation
１１月１５日;November 15
９０．６０．８８;90.60.88
美人で俺好み;She's beautiful and my kind of girl.
趣味はウィンドウショッピング;Hobby is window shopping
?り?し;? reason? death (of a nobleman, etc.)
フー?;Hu?
プール内;inside a pool
フー??;Hu?
その水着可愛いね。』;"You look cute in that swimsuit."""
とても似合つてるよ。』;You look great.
その水着セクシーだね。』;"You look sexy in that swimsuit."""
海岸;coast
浜辺;beach
俺、ファンなんだ。』;"I'm a fan."""
朝日奈夕子;Yuko Asahina
１０月１７日;October 17
８３．５９．８５;83.59.85
流行に敏感で、遊び歩く;Fashion-conscious and playful
勉強は苦手で、うるさい;He is not a good student, and he is picky.
女の子でも誘つて行こうかな？』;"Maybe I should invite a girl to go with me?"""
―人で行こうかな？』;"-Shall we go alone?"""
文芸部へ行く;Go to the Literature Department
科学部へ行く;Go to the science club
美術部へ行く;I'm going to the art club.
??部へ行く;? go to the department
吹奏楽部へ行く;Go to the brass band
演劇部へ行く;Go to the Drama Club
??楽部へ行く;? Go to the Music Department
電脳部へ行く;Go to the Dennou Club
パソコン占い;computer fortune-telling
ヨーグルトきのこ』;Yogurt Mushrooms
ゲーム雑誌』;"GAME MAGAZINE"""
俺も、そう思うよ。』;"I think so, too."""
ガキなんじゃない？』;"Maybe he's just a kid."""
朝日奈さんと―緒ならどこでも⋯。』;"anywhere with Ms. Asahina..."""
金の髪飾り』;"Gold diadem."""
美少年写真集』;"A Collection of Photographs of Beautiful Boys"""
全自動ハボキ』;"Fully automatic Havoki""."
最近の流行の奴だよね。』;"He's the latest fad."""
この色もいいと思うよ。』;"I think this color would be nice too."""
そう？』;"Yeah?"""
??ー?;? ?
ゲレンデ;ski slope
?レン?;? Ren?
ソリなら自信あるんだけどな。』;"I'm pretty confident in sledding."""
スキーなら俺に任せてくれ。』;"I'll take care of the skiing."""
とりあえず滑れるよ。』;"At least I can ski."""
????ー??ー?ー;???? ? ? ?
ゲーマーつて奴？』;"A gamer?"""
そんなの自慢にならないよ。』;"I'm not proud of that."""
そうなんだ。すごいね。』;I see. That's great.
?ル?ショー;? Le? show
イルカつて頭良いよねぇ。』;Dolphins are smart, aren't they?
本当、そう思うよ。』;"I really think so."""
あんなの子供だましだよ。』;"It's just a trick for kids."""
もう―度乗ろうよ。』;Let's ride again.
早?;early?
夕子??;Yuko?
?乙女;? little girl girl
８３．６０．８６;83.60.86
流行に敏感で、うるさい;Fashion-conscious and fussy
アクション映画が好み;Prefer action movies
借金してでも買つたら。』;"You should go into debt to buy it."""
買つてあげたいけど、高いよね。』;"I'd like to buy it for you, but it's too expensive."""
とりあえず、諦めるしかないね。』;"I guess I'll just have to give up for now."""
うん、いいよ。』;"Yeah, okay."""
寄り道は駄目だ。』;"No detours."""
朝日奈さんを誘つて見に行く。』;"I'm going to invite Ms. Asahina to see it."""
ショーの事は全然無視する。』;"Ignore the show altogether."""
ヒーローショー;hero show
?ーローショー;? Law Show
そんなの気にしない、気にしない。』;"I don't care about that, I don't care."""
だつて見たかつたんだもん。』;I wanted to see it.
見るのやめればよかつたかな⋯。』;"Maybe I should have stopped watching..."""
?‐????‐;? -???? -?
????ームコー?ー;"???? The ""Room Co? AREA"
シューティングかなぁ。』;I wonder if it's a shooter.
クレーンゲームかなぁ。』;Maybe it's a crane game.
パズル関係かなぁ。』;"I wonder if it's puzzle-related."""
?ュー?????;? u?????
??‐??‐??;? -??? -??
??。;"The ""What's the matter with you?"
。;The following is a list of the most common problems with the
でも、あれも結構いいよ。』;"But that one's pretty good, too."""
うん、鏡さんによく似合うよ。』;"Yes, it looks good on you, Kagami-san."""
うん、お願いするよ。』;Yes, please.
いいよ。遠慮するよ。』;I'll pass. I'll pass.
?❘?;? ❘?
あまり似合わないね。』;"It doesn't suit you very well."""
?ール;? rule
?ール?;? R?
最新流行の水着だね。』;"It's the latest swimsuit fad."""
?‘?;? '?
沖縄;Okinawa (prefecture)
いや、ちょつとね⋯。』;"No, a little bit..."""
守礼門;gate of honor
メダルゲームコーナー;medal game arcade
??????????;??????????
変なんじゃない。』;It's not weird.
ビデオゲームばつかりなの？』;"Do you play a lot of video games?"""
やつてみたら楽しいと思うよ。』;"I think it'll be fun to try it."""
．?????;. ?????
うん、御願いするよ。』;Yes, please.
いや、いいよ。』;No, thanks.
?脳部へ行く;? Go to the brain section
演劇部公演;Drama club performance
スノーボード』;"Snowboarding"""
目覚し時計』;"Alarm Clock"""
職員室;staff room
遊園地で、待ち合わせ』;Meet me at the amusement park.
きらめき中央公園で、待ち合わせ?;Meet at Kirameki Central Park?
あーつ、眠かつた。』;I was so sleepy.
いい眺めだつたじゃないか。』;It's a nice view, isn't it?
つまんなかつたみたいだね。』;I guess I'm boring.
コンパクト』;"Compact"""
銅のやかん』;The Copper Kettle
銀の指輪』;The Silver Ring.
???‐??;????? -????
植物園で、待ち合わせ』;Meet me at the Botanical Gardens.
植物園で、;At the Botanical Garden,
ボーリング場だつたかな。』;"I think it's a bowling alley."""
とにかく、頑張れ。』;"Anyway, good luck."""
朝日奈さんだつたらとれるつて。』;If it was Ms. Asahina, she would get it.
朝日奈さんには絶対とれないね。』;Asahina-san will never get it.
スケートリンク;skating rink
?????‐??‐;????? -? -?
あんなの子供だましじゃない？』;"Isn't that just a trick for kids?"""
あのスピード感、最高だね。』;"I love the speed of it."""
結構びびつちゃつた。』;"I was pretty spooked."""
すつげー怖かつたよ。』;It was so scary.
ホント、面白かつたね。』;It was really interesting.
ちょつとびびんなかつた？』;"A little jumpy?"""
ずーつと見てたいね。』;"I'd like to watch it all the time."""
酔つぱらいがうるさいね。』;"The drunks are a nuisance."""
そろそろ、行こうか。』;"It's time to go."""
絶叫マシーン、ビビールに乗ろう。』;"Let's ride the scream machine, Vivir."""
絶叫マシーンビビール;Screaming Machine Bibi Beer
ちょつとすごいね⋯。』;"It's a little bit great..."""
ホント最高。』;"It's really great."""
気持ち悪くなちゃつた。』;"It made me sick."""
?魅羅;? enchanting
８５．６０．８６;85.60.86
ｐｒｆのファン;prf fans
古臭いものは嫌いで、うるさい;I don't like old-fashioned things, and I'm picky.
９３．６１．８９;93.61.89
家庭の事を誰も知らない;No one knows about the home.
美的で高価なものしか愛さない;I only love aesthetic and expensive things.
??‐ ‐?? ?;? -? ?
ぜ、全然。こ、怖くなかつたよ。』;I wasn't scared at all. I wasn't scared.
思わず声が出ちゃつたよ。』;"I couldn't help but shout out."""
