Japanese text;English text
イルカつてほ乳類なんだよ。';Los delfines son mamíferos, ¿sabes?  
イルカの歯つて怖くない？';¿No te dan miedo los dientes de los delfines?  
玄関;Entrada  
スタジアム;Estadio  
学校前;Frente a la escuela  
桜並木;Camino de cerezos  
だからこそ、美しいんだよ。';Por eso es que es hermoso.  
それが自然の法則だからね。';Porque es la ley de la naturaleza.  
道路が汚くなるんだよね。';El camino se ensucia, ¿verdad?  
よし、―緒に帰ろう。';Bien, ¡vamos a casa juntos!  
恥ずかしいから、いいよ。';No gracias, me da vergüenza.  
スタジアム内;Dentro del estadio  
実際にプレイするほうがいいな。';Prefiero jugar realmente.  
野球嫌いだから。';Porque odio el béisbol.  
見てるほうがいいかな。';Creo que es mejor verlo.  
８月４日に神社で縁日があります;El 4 de agosto hay un festival en el santuario.  
この絵、片桐さんに似てない。';¿No se parece esta pintura a Katagiri?  
この絵、奇麗だと思わない？';¿No crees que esta pintura es hermosa?  
あの人、奇麗だな⋯。';Esa persona es hermosa...  
空いてるけど、何？';Estoy disponible, ¿qué pasa?  
残念ながら、俺様は忙しいのだ。';Desafortunadamente, estoy ocupado.  
いいよ。―緒に行こう。';Claro, vamos juntos.  
いや、遠慮しておくよ。';No, prefiero abstenerme.
二人三脚』;Carrera de tres pies』
玉転がし』;Bolos japoneses』
すごくおいしそうだね。』;Se ve muy delicioso.』
そう、全然。』;Sí, en absoluto.』
水の中のアートだね。』;Es arte en el agua.』
５月１６日;16 de mayo
７９．５９．８２;79.59.82
バスケ部;Club de baloncesto
アニメと、プロレスが好み;Prefiere anime y lucha libre
花を見てると、心が和むね。』;Mirar las flores relaja el corazón.』
食べれるのかな。』;Me pregunto si se puede comer.』
どこにあるの？』;¿Dónde está?』
図書館内;Dentro de la biblioteca
あーつ！みんな勉強してる！』;¡Oh! ¡Todos están estudiando!』
本当だ、静かだね。』;Es cierto, está tranquilo.』
俺達も静かに勉強しよう。』;Vamos a estudiar en silencio también.』
如月さんと乗るぜ。』;Subiré con Kisaragi.』
如月さんと入るぜ。』;Entraré con Kisaragi.』
誰にでも描けるんじゃない？』;¿No cualquiera puede dibujar eso?』
片桐さん才能あるよ。』;Katagiri tiene talento.』
頑張れば何とかなるよ。』;Si te esfuerzas, de alguna manera lo lograrás.』
京都．奈良』;Kioto. Nara』
沖縄』;Okinawa』
北海道』;Hokkaido』
修学旅行;Viaje de estudios
京都．奈良;Kioto. Nara
ホテル．ロビー;Hotel. Vestíbulo
うん、―緒に行こう。』;Sí, vamos juntos.』
いや、やめておくよ。』;No, lo dejaré así.』
社寺巡り;Visita a templos y santuarios
恋愛小説』;Novela de amor』
サンダル』;Sandalias』
ヘアーバンド』;Cinta para el cabello』
土産屋;Tienda de recuerdos
―緒に逃げよう。』;Huyamos juntos.』
ここは任せて、早く逃げて。』;Déjame esto a mí, escapa rápido.』
ボーリング場;Bolera
８０．５９．８３;80.59.83
激しいスポーツはしない;No hace deportes intensos
落ち着ける音楽が好み;Prefiere música relajante
コンサート会場で、待ち合わせ』;Encontrémonos en el lugar del concierto.』
ゲームセンターで、待ち合わせ』;Encontrémonos en el centro de juegos.』
コンサート会場で、;En el lugar del concierto,
確かこの場所だつた。』;Estoy seguro de que era este lugar.』
ゲームセンターだつたかな。』;¿Era el centro de juegos, quizás?』
ビデオゲームコーナーに行く。』;Iré a la sección de videojuegos.』
メダルゲームコーナーに行く。』;Iré a la sección de juegos de medallas.』
ビデオゲームコーナー;Sección de videojuegos
別にかまわないよ。』;No me importa.』
最近は、女の子も結構来てるよ。』;Últimamente, muchas chicas también vienen.』
不良になつちゃう？』;¿Te vas a volver delincuente?
ガーギー画集輸入版』;Versión importada del álbum de Garugi
香水』;Perfume
水中メガネ』;Gafas de natación
ボーリング場で、待ち合わせ』;Nos vemos en la bolera
ショッピング街で、待ち合わせ』;Nos vemos en el centro comercial
ボーリング場で、;En la bolera,
片桐さんには絶対取れないね。』;Katagiri-san definitivamente no puede atraparlo.
片桐さんなら取れるつて。』;Si es Katagiri-san, lo logrará.
何とかなるんじゃない。』;Creo que se puede resolver.
もう満足した？』;¿Ya estás satisfecho?
いいね。行こうか。』;De acuerdo, vámonos.
ジャンク屋;Tienda de segunda mano
女のくせにおかしいぜ。』;Es raro para ser una mujer.
フーン好きなんだ。』;Mmm, te gusta.
サイバーな感覚だよね。』;Tiene una sensación cibernética, ¿verdad?
そうだね、そう思うよ。』;Sí, pienso lo mismo.
何億年も前の輝きなんだよね。』;Es un brillo de hace cientos de millones de años.
あんなのただの光だよ。』;Eso es solo luz.
貧血の薬』;Medicina para la anemia
シェークスピア全集』;Obras completas de Shakespeare
俺は、ちょつと怖かつたよ。』;Estaba un poco asustado.
あれで？おかしいんじゃない。』;¿Con eso? Debes estar bromeando.
確かにすごかつたね。』;Definitivamente fue increíble.
校舎裏;Detrás del edificio escolar
Ｐ;P
９月 ５日;5 de septiembre
７８．５８．７９;78.58.79
無所属;Independiente
動物のぬいぐるみを集めてる;Recolecta peluches de animales
赤面症で、男子の友達は少ない;Es tímida y tiene pocos amigos varones
それじゃ、絵でも描こうか？』;Entonces, ¿por qué no pintamos algo?
そうだね。見て行こうよ。』;Sí, echemos un vistazo.
幽霊でも出てきそうだよ。』;Parece que podría aparecer un fantasma.
彫塑展;Exposición de esculturas
うん、素晴らしい作品だね。』;Sí, es una obra maravillosa.
俺は、隣のやつがいいな。』;Yo prefiero la que está al lado.
これはレプリカなのに？』;¿Aunque es una réplica?
そうだね、奇麗だつたね。』;Sí, era hermosa.
進路指導;Orientación profesional
俺は、進学したい。;Quiero continuar mis estudios.
俺は、就職したい。;Quiero encontrar un empleo.
他の人の進路を調べる。;Investiga las opciones de otros.
カラオケ;Karaoke
ＢＯＸ内;En el interior de la cabina
８１．５９．８３;81.59.83
趣味は読書で、文学作品を好む;Su hobby es leer y prefiere la literatura
全然駄目、基礎からやり直したら？』;No sirve de nada, ¿por qué no empiezas desde lo básico?
わりといいんじゃない。』;No está tan mal, ¿verdad?
上手だつたよ。プロみたい。』;Fuiste genial. Como un profesional.
うん、詩織によく似合うよ。';Sí, le queda bien a Shiori.
でも、あれも結構可愛いよ。';Pero eso también es bastante lindo.
闘魂ヒストリー大全';Enciclopedia de la historia del espíritu de lucha.
ビー玉';Canica.
リップ';Lápiz labial.
８５．５７．８６;85.57.86
アクセサリーを集めてるらしい';Parece que está coleccionando accesorios.
公園に行くのが好きなようだ';Parece que le gusta ir al parque.
８月３日に神社で縁日があります';Habrá un festival en el santuario el 3 de agosto.
動物園で、待ち合わせ』;Nos encontraremos en el zoológico.
スタジアムで、待ち合わせ』;Nos encontraremos en el estadio.
スタジアムで、';En el estadio.
でも、痛そうだよ。';Pero parece doloroso.
インチキに決まつてるよ。';Seguro que es un fraude.
メラメラくるぜ。';¡Viene con intensidad!
でも、目は怖いよ。';Pero los ojos son aterradores.
すげー、可愛くねぇ。';Vaya, ¿no es lindo?
本当。可愛いよね。';En serio. Es lindo, ¿verdad?
７９．５８．８０;79.58.80
幽霊話とかの話が好きらしい';Parece que le gustan las historias de fantasmas.
うるさい音楽は、嫌いらしい';Parece que no le gusta la música ruidosa.
美樹原さんと―緒だからね。';Porque estoy con el Sr. Mikihara.
何か気分がいいね。';De alguna manera me siento bien.
散歩は、お腹がすいてくるね。';Caminar da hambre, ¿no?
この絵、如月さんに似てるね。';Esta pintura se parece a la Srta. Kisaragi, ¿verdad?
昇り龍乱れ七変化つて奴だね。';Es como un dragón ascendente con siete transformaciones alocadas.
線香花火の方がいいな。';Prefiero los fuegos artificiales de bengala.
本当、奇麗だね。';En serio, es hermoso, ¿verdad?
ウサギの手ぶくろ』;Guantes de conejo.
力士のぬいぐるみ』;Muñeco de peluche de luchador de sumo.
なまこ』;Pepino de mar.
ポシェット』;Bolsa de mano.
イヤリング』;Pendientes.
ホラー小説』;Novela de terror.
ガーギー展';Exposición de Gargi.
８６．６０．８７;86.60.87
水泳の授業の日は休みがち';Tiende a faltar a clase los días de natación.
グロテスクな絵、ポップスが好み';Prefiere las pinturas grotescas y el pop.
通信カラオケセット』;Equipo de karaoke por telecomunicación.
迷彩服』;Ropa de camuflaje.
ムンクの叫びの人形』;Muñeca del Grito de Munch.
奇麗な花だねぇ。';Es una flor hermosa, ¿verdad?
この弾丸が付いたのはどう？』;¿Qué hay de este con la bala?
このコアラのはどう？』;¿Qué tal este de koala?
このカラフルなのはどう？』;¿Qué te parece este colorido?
図書館で、待ち合わせ』;Nos encontramos en la biblioteca.
図書館だつたかな。';Creo que fue en la biblioteca.
Ｌ;L
よし、俺も頑張るぞ。』;Bien, yo también me esforzaré.
くそ、いい気になりやがつて。';Maldición, se está volviendo arrogante.
片桐さん、うますぎだよ。』;Sr. Katagiri, eres demasiado bueno.』
ワンピース』;One Piece』
漫画本』;Libro de manga』
文芸小説』;Novela literaria』
大学に試験を受けに行く;Ir a la universidad a presentar un examen
やめて、就職試験を受けに行く;Dejar de hacerlo e ir a tomar un examen de empleo
―流大学を受験する;Presentar el examen de una universidad de primera categoría
二流大学を受験する;Presentar el examen de una universidad de segunda categoría
三流大学を受験する;Presentar el examen de una universidad de tercera categoría
いい;Bien
１１月１５日;15 de noviembre
９０．６０．８８;90.60.88
美人で俺好み;Una belleza a mi gusto
趣味はウィンドウショッピング;Su pasatiempo es el window shopping
プール内;Dentro de la piscina
その水着可愛いね。』;Ese traje de baño es lindo.』
とても似合つてるよ。』;Te queda muy bien.』
その水着セクシーだね。』;Ese traje de baño es sexy.』
海岸;Costa
浜辺;Playa
俺、ファンなんだ。』;Soy fan.』
１０月１７日;17 de octubre
８３．５９．８５;83.59.85
流行に敏感で、遊び歩く;Sensible a las tendencias, sale mucho a divertirse
勉強は苦手で、うるさい;No es bueno estudiando y es ruidoso
女の子でも誘つて行こうかな？』;¿Debería invitar a algunas chicas a venir?』
―人で行こうかな？』;¿Debería ir solo?』
文芸部へ行く;Ir al club de literatura
科学部へ行く;Ir al club de ciencias
美術部へ行く;Ir al club de arte
吹奏楽部へ行く;Ir al club de banda sinfónica
演劇部へ行く;Ir al club de teatro
電脳部へ行く;Ir al club de informática
パソコン占い;Adivinación por computadora
ヨーグルトきのこ』;Hongo de yogurt』
ゲーム雑誌』;Revista de juegos』
俺も、そう思うよ。』;Yo también lo creo.』
ガキなんじゃない？』;¿No es un niño?』
朝日奈さんと―緒ならどこでも⋯。』;Con Asahina-san iría a cualquier lugar...』
金の髪飾り』;Adorno de cabello dorado』
美少年写真集』;Colección de fotos de chicos guapos』
全自動ハボキ』;Limpiador totalmente automático』
最近の流行の奴だよね。』;Es lo que está de moda recientemente, ¿verdad?』
この色もいいと思うよ。』;Creo que este color también está bien.』
そう？』;¿En serio?』
ゲレンデ;Pista de esquí
ソリなら自信あるんだけどな。』;Tengo confianza en trineo.』
スキーなら俺に任せてくれ。』;Deja el esquí a mi cargo.』
とりあえず滑れるよ。』;Por lo menos puedo deslizarme.』
ゲーマーつて奴？』;¿Te refieres a un gamer?』
そんなの自慢にならないよ。』;Eso no es algo de lo que deberías presumir.』
そうなんだ。すごいね。』;Ah, ya veo. ¡Es increíble!』
イルカつて頭良いよねぇ。』;Los delfines son inteligentes, ¿no?』
本当、そう思うよ。』;Sí, yo también lo creo.』
あんなの子供だましだよ。』;Eso es solo un truco infantil.』
もう―度乗ろうよ。』;Vamos a subir de nuevo.』
８３．６０．８６;83.60.86
流行に敏感で、うるさい;Está al tanto de las tendencias y es exigente.
アクション映画が好み;Le gustan las películas de acción.
借金してでも買つたら。』;Deberías comprarlo incluso si tienes que endeudarte.』
買つてあげたいけど、高いよね。』;Me gustaría comprártelo, pero es caro, ¿no?』
とりあえず、諦めるしかないね。』;Por ahora, no tenemos opción más que rendirnos.』
うん、いいよ。』;Sí, está bien.』
寄り道は駄目だ。』;No te desvíes.』
朝日奈さんを誘つて見に行く。』;Invitaré a Asahina-san a venir a ver.』
ショーの事は全然無視する。』;Ignoraré completamente el espectáculo.』
ヒーローショー;Espectáculo de héroes
そんなの気にしない、気にしない。』;No te preocupes por eso, no te preocupes.』
だつて見たかつたんだもん。』;Es que quería verlo.』
見るのやめればよかつたかな⋯。』;¿Tal vez debería haber dejado de mirar...?』
シューティングかなぁ。』;Quizás un juego de disparos.』
クレーンゲームかなぁ。』;Quizás un juego de grúa.』
パズル関係かなぁ。』;Quizás relacionado con puzzles.』
でも、あれも結構いいよ。』;Pero eso también está bastante bien.』
うん、鏡さんによく似合うよ。』;Sí, le queda muy bien a Kagami-san.』
うん、お願いするよ。』;Sí, te lo encargo.』
いいよ。遠慮するよ。』;Está bien. Me abstendré.』
あまり似合わないね。』;No te queda muy bien.』
最新流行の水着だね。』;Es un traje de baño de última moda.』
沖縄;Okinawa
いや、ちょつとね⋯。』;Bueno, un poco...』
守礼門;Shureimon
メダルゲームコーナー;Área de juegos de medallas
変なんじゃない。』;¿No es raro?』
ビデオゲームばつかりなの？』;¿Son solo videojuegos?』
やつてみたら楽しいと思うよ。』;Creo que si lo intentas, te divertirás.』
うん、御願いするよ。』;Sí, por favor.』
いや、いいよ。』;No, está bien.』
演劇部公演;Presentación del club de teatro
スノーボード』;Snowboard』
目覚し時計』;Despertador』
職員室;Sala de profesores
遊園地で、待ち合わせ』;Nos encontramos en el parque de diversiones』
あーつ、眠かつた。』;Ah, estaba tan dormido.』
いい眺めだつたじゃないか。』;Tenías una buena vista, ¿verdad?』
つまんなかつたみたいだね。』;Parece que fue aburrido, ¿no?』
コンパクト』;Compacto』
銅のやかん』;Hervidor de cobre』
銀の指輪』;Anillo de plata』
植物園で、待ち合わせ』;Nos encontramos en el jardín botánico』
植物園で、;En el jardín botánico,
ボーリング場だつたかな。』;¿Era la bolera?』
とにかく、頑張れ。』;De todos modos, ¡ánimo!』
朝日奈さんだつたらとれるつて。』;Si fuera Asahina-san, lo conseguiría.』
朝日奈さんには絶対とれないね。』;Asahina-san no podría hacerlo definitivamente.』
スケートリンク;Pista de patinaje
あんなの子供だましじゃない？』;¿No es eso un truco para niños?』
あのスピード感、最高だね。』;Esa sensación de velocidad es increíble, ¿no?』
結構びびつちゃつた。』;Realmente me asusté bastante.』
すつげー怖かつたよ。』;¡Fue increíblemente aterrador!』
ホント、面白かつたね。』;De verdad, fue muy divertido, ¿no?』
ちょつとびびんなかつた？』;¿No te asustaste un poco?』
ずーつと見てたいね。』;Quisiera seguir viendo eso para siempre.』
酔つぱらいがうるさいね。』;Los borrachos son ruidosos, ¿no?』
そろそろ、行こうか。』;Es hora de irnos, ¿no?』
絶叫マシーン、ビビールに乗ろう。』;Montemos en la máquina de gritos, ¡Vivir!』
絶叫マシーンビビール;Máquina de gritos Vivir
ちょつとすごいね⋯。』;Es un poco impresionante...』
ホント最高。』;Es lo mejor.』
気持ち悪くなちゃつた。』;Me sentí mal.』
８５．６０．８６;85.60.86
ｐｒｆのファン;Fan de prf
古臭いものは嫌いで、うるさい;No le gustan las cosas anticuadas y es ruidoso
９３．６１．８９;93.61.89
家庭の事を誰も知らない;Nadie conoce sus asuntos familiares
美的で高価なものしか愛さない;Solo ama lo que es estético y caro
ぜ、全然。こ、怖くなかつたよ。』;No, para nada. No, no tuve miedo.』
思わず声が出ちゃつたよ。』;Involuntariamente dejé escapar un grito.』
はつ、俺は今何をしていたんだ。』;¿Qué estaba haciendo justo ahora?』
５月１２日;12 de mayo
テニス部;Club de tenis
ＬＡ;Los Ángeles
カラオケ屋で、待ち合わせ』;Reunión en el karaoke.』
カラオケ屋で、;En el karaoke,
ここは渋く演歌なんてどう？』;¿Qué tal una canción enka aquí, algo clásico?』
なんでもいいよ。』;Cualquier cosa está bien.』
この、ｐｒｆの新曲は？』;¿Qué hay de la nueva canción de prf?』
実験ショー;Show experimental
ポップスのＣＤ』;CD de pop
携帯テレビ電話』;Teléfono móvil con televisión
それなりの苦労はあるよ。』;Hay ciertas dificultades.』
そんな事はないよ。』;No es cierto.』
朝日奈さん何か考えてるの？』;¿Asahina-san está pensando en algo?』
毛糸のパンツ』;Pantalones de lana』
裁縫セット』;Set de costura』
プラチナのクロス』;Cruz de platino』
バーチャルシップに乗ろう。』;Vamos a montar en la nave virtual.』
バーチャルシップ;Nave virtual
いん石が来た時、びびつちゃつたよ。;Cuando llegó el meteorito, me asusté.』
所詮は子供だましだね。』;Al final, solo es un truco para niños, ¿verdad?』
すごかつたね。';Fue increíble.  
俺が教えてあげるよ。';Te enseñaré.  
―緒に練習しようよ。';Practiquemos juntos.  
氷の上なんて、ずるいよね。';Sobre el hielo, es injusto, ¿verdad?  
この絵の人、詩織に似てない？';¿No se parece esta persona en la pintura a Shiori?  
プラネタリウムで、待ち合わせ';Encuentro en el planetario.  
屋上;Techo.  
ここつて、幽霊でも出てきそうだね。;Aquí parece que podría aparecer un fantasma, ¿verdad?  
それじゃ、ベンチで休んでいこう。';Entonces, descansemos en el banco.  
あつ、あそこに鯉がいるぞ。';Mira, hay un koi allí.  
就職試験を受けに行く;Ir a tomar el examen de empleo.  
やめて、大学入試に行く;Detenerse y ir al examen de ingreso universitario.  
―流企業の試験を受ける;Tomar el examen para una empresa de primera categoría.  
二流企業の試験を受ける;Tomar el examen para una empresa de segunda categoría.  
三流企業の試験を受ける;Tomar el examen para una empresa de tercera categoría.  
１２月 ３日;3 de diciembre.  
８２．５８．８３;82.58.83  
スポーツ万能、水泳は国体レベル;Experto en deportes, la natación es a nivel nacional.  
優柔不断な男は嫌い;No me gustan los hombres indecisos.  
似顔絵;Retrato.  
どれも、清川さんに似合うよ。';Todo le queda bien a Kiyokawa.  
どれも、似合わないんじゃない？';¿No crees que nada le queda bien?  
清川さん、意外と可愛いね。';Kiyokawa, sorprendentemente, es linda.  
花束』;Ramo de flores.  
リストバンド』;Banda para la muñeca.  
こん棒』;Garrote.  
清川さん、可愛いから似合うよ。';A Kiyokawa le queda bien porque es linda.  
きつと、女の子つぽく見えるぜ。';Seguro que parece una chica.  
清川さんはジャージが―番。';Kiyokawa, el chándal es lo mejor.  
本当、可愛いよね。';De verdad, es linda, ¿verdad?  
目が怖かつたよ。';Sus ojos daban miedo.  
８３．５８．８３;83.58.83  
身体を動かすことが大好き;Le encanta mover el cuerpo.  
ロックをよく聴く、軟弱者は嫌い;Escucha mucho rock, no le gustan los débiles.  
持つてあげるよ。';Te lo llevo.  
やつぱり、女の子なんだよな。';Al fin y al cabo, es una chica.  
ホント、たくさん買つたね。';En serio, compraste mucho, ¿verdad?  
演劇部;Club de teatro.  
如月さんて、臆病なんだね。';Kisaragi, eres tímido, ¿verdad?  
サイバーな感じでかつこいいよ。';Tiene un estilo cibernético y es genial.  
そうだね、もう帰ろうか？';Sí, ¿volvemos ya?  
大丈夫だよ。危なくないから。';Está bien. No es peligroso.  
１月１３日;13 de enero.  
８２．５９．８３;82.59.83  
野球部;Club de béisbol.  
アクション映画、ロックが好み;Prefiere películas de acción y rock.  
趣味は料理、誰にでも優しい;Afición es la cocina, amable con todos.  
おかしいんじゃない？';¿Está raro, no?  
血が騒ぐんだよね。';La sangre se agita.  
清川さん、格闘技好きなんだ。';A Kiyokawa le gusta las artes marciales.
北海道;Hokkaido
