Japanese text;English text
よし、―人で初詣に行くか。』;Okay, let's all go to the shrine for the first visit of the year.
よし、女の子と初詣に行く?;Okay, shall I go to the shrine with a girl?
よし、―人で初詣に行くか。;Okay, let's all go to visit the shrine for the first time of the year.
学業成就』;Academic Achievement
健康祈願』;Praying for good health
恋愛成就』;Love Fulfillment
???｀?;???｀?
‘?;'?
乙女「ハイ、早乙女です。;"Otome: ""Yes, it's Saotome."
早乙女「ハイ、早乙女です。;"Saotome: ""Yes, it's Saotome."
伊集院?イ;Ijuin?
伊集? ?;Iju? ?
? ?｀;? ?｀
‐‐ ‐?;--?
‘． ． ?;'. ． ?
???．?;???． ?
?い?い?;?good?
??「つて、とこだな。;??「That's it.
８月２３日;August 23
ＡＢ型;Type AB
言迷．言迷．言迷;A confusing statement. A confusing statement. Confusing
私設部;Private Department
嫌い嫌い嫌い嫌い嫌い嫌い嫌い;I hate it, hate it, hate it, hate it, hate it
受験参考書』;Examination Reference Books
スッポンの生き血』;The fresh blood of a soft-shelled turtle
ゲーテの詩集』;Goethe's Poems
??「ー?????;??「ー?????
?レン??ンの????に、;In Ren's ????
ＰＬＡ（気を取り直して;PLA (Let's take a fresh look
バレンタインのお礼をしに、;To thank you for Valentine's Day,
行くか。）;Shall we go.)
片??子;One piece
藤崎;Fujisaki
如月;Kisaragi
紐緒;Himoo
片桐;Katagiri
美樹原;Mikihara
伊集院;Ijuin
?桐;Katagiri
片?;One side?
ＬＡ（誰に電話かけようかな？;LA: Who should I call?
ＰＬＡ（誰に電話かけようかな？）;PLA (Who should I call?)
ＰＬＡ;PLA
に??;To??
?よう?;Hello?
？）;? )
取り消?;Cancel?
?Ｉ;?I
ＬＡ（スタジアムができたのか。;LA (The stadium was built.
ん、フリーモードのアイコン;Hmm, the free mode icon
ＰＬＡ（スタジアムができたのか。;PLA (So the stadium was built.
ん、フリーモードのアイコンは;Hmm, the free mode icon is
Ｌ２を押してつかめるのか。）;Can you press L2 to grab it?
?シア;?
、フリ;,pretend
２??;2??
?でき?;?Can?
?‐ド?;?-Do?
?つか?;?burial mound?
?。;?.
イコン?;Icon?
のか。?;Or is that so?
女の子からの評価;Girls' reviews
紐緒結奈;Yuna Niou
片桐彩子;Ayako Katagiri
美樹原愛;Mikihara Ai
藤崎詩織 ?;Shiori Fujisaki?
如月未緒 ?;Mio Kisaragi?
紐緒結奈 ?;Niou Yuna?
片桐彩子 ?;Ayako Katagiri?
美樹原愛 ?;Mikihara Ai ?
女の子か?;Is it a girl?
｀  ??;｀ ??
愛 ?｀;Love?
????｀;????｀
緒結奈 ?｀;Oyuna?
????―?―;????―?―
＂?．;＂?．
如月未緒 ?｀;Mio Kisaragi?
紐緒結奈 ?｀;Niou Yuna?
片桐彩子 ?｀;Ayako Katagiri?
美樹原愛 ?｀;Mikihara Ai ?
??「こんなとこだな。;??“It’s a place like this.
?―??;?―??
?     ．．?;?． ． ?
好雄;Yoshio
‘???;'???
?な。;?Right?
校門前;School gate
校門;school gate
廊下;corridor
近所;neighborhood
近所の?;Nearby?
?．?;?． ?
?．?‐?;?． ?‐?
?．?‐．;?． ?‐．
ＰＬＡＹＥＲ;PLAYER
?崎??;?zaki??
期末試験結果発表;Final exam results announced
??未?;??Not yet?
｀‐‐ ?;'--?
ＰＬＡＹＥＲ ?;PLAYER?
????―――?;????―――?
????  ．■;????． ■
???   ?;??? ?
????イ  ?;????stomach  ?
???‐  ?;???‐ ?
‐．．‐．．;-. ． -. ．
?‘??   ?;?‘?? ?
???．｀ ?;???． ｀ ?
?? ??．?;?? ??． ?
?   ??;? ??
?  ????．??????;? ????． ??????
｀  ???? ??????;｀ ??????
?．??‐;?． ??‐
．‐?．‐;． -?． -
?の?;?of?
?終了?;?end?
。）;. )
自宅前;In front of my house
?は?;?teeth?
しよう?;let's?
??❘;??❘
?? ?;?? ?
フンガー;Hunger
?‘?‐;?‘?‐
甲玉 リコ;Rico
甲? ?‐;A? ?-
中央公園で桜が満開;Cherry blossoms in full bloom at Central Park
水族館でイルカのショー開催;Dolphin show held at aquarium
ＬＡ『無理だと思つていた;LA: I thought it was impossible.
第―志望だつたが、;It was my first choice, but
ＰＬＡ『無理だと思つていた;PLA: I thought it was impossible
運良く合格することができた。;Luckily I was able to pass.
ー??;--??
てい?;attitude?
?たが?;But?
るこ?;Ruko?
で??;in??
教室;classroom
実験室;Laboratory
虹野;Nijino
?野;?field
取??｀;Get it
??           伊集院;?? Ijuin
乙女好雄;Otome Yoshio
伊集?;Iju?
取り?;take?
．‐;． -
?   ?❘;? ?❘
．   ?;． ?
???｀;???｀
伊??;Italy??
７月 ７日;July 7th
蟹座;Cancer
８４．５８．８４;84.58.84
科学部;Science Department
怪しげな研究をしてるらしい;Apparently he's doing some shady research.
その他、詳しいことは不明;Other details are unknown
８４．５８．８?;84.58.8?
８４．５８．??;84.58. ??
７?;7?
怪しげな研究をしてるら?．;What if they're doing some dubious research?
その他、詳しいことは不?;Any other details?
怪しげな研究をしてるら;Doing some dubious research
その他、詳しいことは?;Any other details?
デートス?;Date?
図書館内;Inside the library
調べ物なんて、後でいいよ。』;I can do the research later.
俺も、手伝うよ。』;I'll help too.』
そうさせてもらうよ。』;I'll do that.'
???希;???
虹野沙希;Saki Nijino
１月１３日;January 13th
山羊座;Capricorn
８１．５９．８２;81.59.82
野球部;Baseball club
運動部のアイドルで、趣味は料理;She is an idol in the sports club and her hobby is cooking.
運動はやるより、見るタイプ;I'm more of a watcher than a participant when it comes to exercise
１?;1?
運動部のアイドルで、?????;She is an idol of the sports club, ?????
運動はやるより、見るタ??;Is it better to watch exercise than to do it?
運動部のアイドルで、趣味???;She's an idol in the sports club, and her hobby is???
香水』;"perfume"""
第６世代コンピュータ理論の本』;"""The Book of Sixth Generation Computer Theory"""
ムチ』;Whip』
館林見晴;Tatebayashi View
カレンダー;calendar
????‐;????‐
おいらやつてるよ;I'm doing it
盛田 智佐;Chisa Morita
８月に遊園地でナイトパレード開催;Night parade held at amusement park in August
８月６日に?社で縁日があります;There will be a festival at the shrine on August 6th.
情報誌;Information magazine
８月６日に神社で縁日があります;There will be a festival at the shrine on August 6th.
８月６日に神社で縁日があ? ?;Is there a festival at the shrine on August 6th?
合宿所;Training camp
グランド;ground
ラッキー！のぞいちゃえ！』;"Lucky you! Let's have a look!"""
いや、やめとこう。』;No, let's not do that.
左の窓からのぞく。』;Look through the window on the left.
真ん中の窓からのぞく。』;Peeking through the center window.
右の窓からのぞく。』;Look through the window on the right.
?野沙希;Saki Nono
前のペー?．;Previous page?
ピアス』;Earrings
ハンカチ』;"handkerchief"""
クラシックのＣＤ』;Classical CDs
フォレスとガンプ;Fores and Gump
茶毛＆明日;Brown hair & tomorrow
美術館で、有名画家展開催;Famous artist exhibition held at art museum
????ー;????
遊園地内;In the amusement park
ジェットコースターに乗ろう。』;Let's ride a roller coaster.
ゴーストハウスに行こう。』;Let's go to the Ghost House.
観覧車に乗ろうよ。』;Let's go on the Ferris wheel.
そうだね。あんまりね。』;Yeah, not really.'
全然怖くなかつたよ。』;It wasn't scary at all.'
すごく、怖かつたよ。』;It was so scary.”
Ｐ;P
映画館;movie theatre
コンサート会場;Concert Venues
女の子でも誘つて行こうかな？』;Should I invite a girl along?
―人で行こうかな？』;- Should I go with someone?
?????????????？』;"??????????????? """
‐人????????;-Man????????
??           やめる;??           stop
詩集展示;Poetry exhibition
自宅;one's home
???‐???;???-???
会場内;Inside the venue
コンサート、つまらなかつたね。』;The concert was boring.
コンサート、面白かつたね。』;The concert was fun.
コンサート、まあまあだつたね。』;The concert was pretty good.
９????;9???
Ｂ?;B?
?ョ?????;?????
洋服でも見に行こうよ。』;"Let's go look at some clothes."""
小物でも見に行こうよ。』;"Let's go and look at some small items."""
ジャンク屋に行こうよ。』;Let's go to the junk shop.
ジャン?????．? ?;Jean?????． ? ?
??「ー;??「ー
??「ー???;??「ー???
伊集院邸;Ijuin Residence
パーティー会場;Party Venue
正月;New Year
よし、女の子と初詣に行く???;Ok, I'll go to the shrine with a girl???
よし、―人で初詣に行くか。?;Okay, shall we all go to the shrine for the first visit of the year?
Ｌ;L
初詣;first visit of the year to a shrine
Ｌ?;L?
図書室;Library
くさつた卵』;"""Stinky Eggs"""
Ｔシャツ』;T-shirts
ステンレス調理セット』;Stainless steel cooking set
嫌い嫌い嫌い嫌い嫌い?;Hate hate hate hate hate?
嫌??????????;No??????????
??「??;??「??
?レン?ー;Ren
並木道;Tree-lined street
スポ根ドラマみたいだね。』;It's like a sports drama.
そんな根性無いよ。』;I don't have that kind of guts.
そうだね。気持ちよさそうだね。』;Yes, that sounds good.
?．Ｉ????;?． I????
そろそろ、;gradually,
??「ＹＥＲ君;??YER-kun
帰りましょう。;Let's go home.
‐???;-???
。;.
｀   ｀．;｀ ｀.
??「???;??「???
不良になつちゃう？』;Will you become a delinquent?
時代遅れなんじゃない。』;It's not outdated.
最近は、女の子も結構来てるよ。』;Recently, a lot of girls have been coming here too.
??????????;??????????
??????????。?;??????????. ?
ゲームセン?;Game Center?
?‐????‐;?‐????‐
学校前;In front of school
??Ｉ??、??。;??I??,??.
??つて???？;??And????
??「おい、?美;??Hey, ??
何やつてたんだ？;What were you doing?
?、?;?, ?
?つ?;?
．＂;． ＂
??「おい、侵美;??Hey, Inami
??「おい、優美;??Hey, Yumi
水族館でイ?カのショー開催;Squid show held at aquarium
甲玉 ．?;A ball. ?
水族館でイルカのショー?．;A dolphin show at the aquarium?
水族館でイルカのショ‐開催;Dolphin show held at aquarium
水族館でイルカのショ‐?催;Dolphin show at the aquarium
早乙女優美;Saotome Yumi
?乙女優美;?Oto Yumi
そうだね。休んでいこう。』;That's right. Let's take a rest.
俺は、余計疲れてくるな。』;I'm getting even more tired now.』
池の廻り走ろうか？』;Shall we run around the pond?
カンパンマン;Canned bread man
ＸｅＸｅＸ;XeXeX
８月４日に?社で縁日があります;There will be a festival at the shrine on August 4th.
プールにウ?ータースライダー完成;Water slide completed in the pool
８月４日に神社で縁日があります;There will be a festival at the shrine on August 4th.
プールにウォータースライダー完成;Water slide completed in the pool
プールにウォータースライダー??;Waterslide in the pool?
スタジアム;Stadium
スタジアム内;Inside the stadium
そんなに面白いかな？』;Is it really that interesting?
プレイするほうが好きだな。』;I prefer to play.”
俺も、見るの好きだよ。』;I like watching it too.”
きら?．中央公園;Kira? Central Park
プレイするほうが好きだな。?;I prefer to play.
?‐???;?‐???
よし、―緒に帰ろう。』;Ok, let's go home together.
恥ずかしいから、いいよ。』;It's embarrassing, so that's fine.'
園内;Inside the park
でも、目は怖いよ。』;But the eyes are scary.
本当。可愛いよね。』;Seriously. It's cute.
すげー、可愛くねぇ。』;Wow, isn't it cute?
本当。?????｀?;Really?
すげー、????．．Ｉ;Wow, ????. . I
空いてるけど、何？』;It's empty, what is it?
残念ながら、俺様は忙しいのだ。』;"Unfortunately, I'm busy."""
いいよ。―緒に行こう。』;Sure. --Let's go together.
いや、遠慮しておくよ。』;No, I'll pass.
インチキじゃないの？』;Isn't this a scam?
頑張つてる人つて、かつこいいよね。;People who work hard are great.
応援するのが、好きなんだね。』;I like to cheer them on.
取り??;take??
早乙女;Saotome
?????の評価;?????Evaluation of
５月１６日;May 16th
牡牛座;Taurus
Ｏ型;Blood Type O
７９．５９．８２;79.59.82
バスケ部;basketball club
アニメと、プロレスが好み;I like anime and pro wrestling.
早乙女優?;Saotome actress?
植物園;Botanical garden
コン?ート??;Con?t?
?ート??;??
花を見てると、心が和むね。』;Looking at flowers makes me feel at peace.
食べれるのかな。』;I wonder if I can eat it?
これが奇麗なの？』;Is this beautiful?
花を見てると、心が和むね。?;Looking at flowers makes my heart feel calm.
チャイナドレス』;"China dress"""
精密工具セット』;Precision Tool Set
高速ジオメトリ演算理論の本』;"""High-speed Geometry Calculation Theory"""
プール;Pool
海;Ocean
神社;shrine
縁日;fair
浴衣を誉める。』;Compliment the yukata.
浴衣を誉めない。』;Don't praise the yukata.
睡拳．痛;Sleeping fist. Pain
ＫＮＭ交響楽団;KNM Symphony Orchestra
ゲームセンターにメダルコーナーが;There is a medal corner in the game center
設置;Installation
ゲームセンターにメダルコー?‐が;There is a medal corner at the game center.
ボーリング場;bowling alley
前のペー?;Previous page?
ボーリング?;Bowling?
??サー?;??Sir?
京都．奈良』;Kyoto. Nara.
沖縄』;"Okinawa"""
北海道』;"Hokkaido"""
修学旅行;school trip
北海道;Hokkaido
ホテル．ロビー;Hotel Lobby
???．??‐;???． ??‐
いや、―緒に行こう。』;No, let's go together.
そうだね、やめておくよ。』;Yeah, I'll stop.”
時計台前;In front of the clock tower
?．?‐??‐??????．;?． ?‐??‐??????．
こ??????る??て;This is what I'm talking about
??「こんなビルの真ん中に;"?? ""In the middle of a building like this"
こんな建物があるなんて;I never knew there was a building like this.
不思議ね。;That's strange.
、;,
??Ｉ??、??????;??I??, ??????
??????ぞ。;??????It is.
ＰＬＡ『あつ、丁度いい所に、;"PLA: ""Atsushi, just in the right place,"
詩織が現れたぞ。;Shiori has appeared.
つ、?;H,?
ホテル．廊下;Hotel. Hallway
ホテル．ロ?;Hotel Lo?
もう少し待つ』;Please wait a little longer.
虹野さんの部屋に行つてみよう。』;"Let's go to Nijino's room."""
?しよ?;?Let's do it?
?？）;?? )
館内;Inside the building
今の映画、つまらなかつたね？』;That movie was boring, wasn't it?
今の映画、面白かつたね？』;Was that movie interesting?
今の映画、まあまあだつたね？』;That movie was pretty good, wasn't it?
俺はわりと好きだな⋯。』;"I actually quite like it..."""
優美ちゃんはどうなの？』;How is Yumi-chan?
全然面白くない。』;It's not funny at all.
うん、―緒に行こう。』;Yeah, let's go together.
いや、やめておくよ。』;No, I'll stop.
演奏会;concert
?ーリン??;?ーリン??
頑張れば、きつと取れるよ。』;If you try hard, you can definitely get it.
フォームを直すといいかな。』;Maybe I should fix my form.
虹野さんには絶対無理だね。』;"There's no way Nijino-san could do that."""
??「????;??「????
???優美;???Elegant
８４．５６．８５;84.56.85
クラシックと恋愛物の映画が好み;I like classic and romantic movies.
ヘアバンドを集めてるらしい;Apparently he collects hair bands
クラシックと恋愛物の?;Classical and romantic?
ヘアバンドを集めてるら;I collect hair bands
愛のメロディ;Melody of Love
Ｂｅｅｓ;Bees
次号に期待してくれ！;Stay tuned for the next issue!
?????．;?????．
伊????;Italy????
