Japanese text;English text
ゲーテの詩集がお気に入り;Fond of Goethe’s poetry collection.
前のページへ;To Previous Page
映画館;Movie Theater
コンサート会場;Concert Hall
プール;Swimming Pool
海;Sea
神社;Shrine
縁日;Festival
浴衣を誉める。';Compliment her yukata.
浴衣を誉めない。';Do not compliment her yukata.
音楽室;Music Room
自宅;Home
８月２３日;August 23rd
ＡＢ型;Type AB
言迷．言迷．言迷;Nooooo Idea.
私設部;Private Section
嫌い嫌い嫌い嫌い嫌い嫌い嫌い;Hate Hate Hate Hate Hate Hate
有名画家展;Famous Painter Exhibition
俺もファンなんだよ。';I'm also a fan.
こんな絵がいいの？';Do you like this kind of painting?
上手だよね。';It's good, isn’t it?
会場内;Inside The Venue
コンサート、つまらなかったね？';That concert was boring, wasn't it?
コンサート、良かったね？';That concert was good, wasn’t it?
コンサート、まあまあだったね？';That concert was so-so, wasn’t it?
ベレー帽』;Beret
孫の手』;Back scratcher
すごく妖しげな本』;Suspicious-looking book
ファンシーショップ;Accessories Shop
でも、あれもいいんじゃない？』;But isn't that one good too?
全然、思わない。』;I don't think so at all.
うん、片桐さんによく似合うよ。』;Yeah, it looks good on you.
舞台裏;Backstage
館内;Inside The Building
今の映画、まあまあだったね？』;That movie was so-so, right?
今の映画、つまらなかったね？』;That movie was boring, right?
今の映画、面白かったね？』;That movie was interesting, right?
並木道;Tree-lined Street
本当、気持ちいいね。』;Yeah, it's nice.
恋愛小説の―場面みたいだね。』;It's like a scene from a romance novel.
散歩は、お腹がすいてこない？』;Doesn't walking make you hungry?
伊集院邸;Ijuin Residence
パーティー会場;Party Hall
スケート場;Ice Skating Rink
スキー場;Ski Resort
正月;New Year
よし、女の子と初詣に行くか。』;Alright, let's invite someone to visit the shrine with.
よし、―人で初詣に行くか。』;Alright, let's visit the shrine alone.
初詣;New Year's Shrine Visit
学業成就』;Academic success
健康祈願』;Good health
恋愛成就』;Love
水族館;Aquarium
ゲーテの詩集』;Goethe's Poetry Collection
受験参考書』;Exam Reference Book
スッポンの生き血』;Turtle's Blood
遊園地内;Inside the Amusement Park
ジェットコースターに乗ろう。』;Let's ride the roller coaster.
観覧車に乗ろうよ。』;Let's ride the Ferris wheel.
ゴーストハウスに行こう。』;Let's go to the haunted house.
俺がいるから大丈夫だっただろ。』;It was okay because I was there, right?
意外と臆病なんだね。』;You're surprisingly timid.
あれで？おかしいんじゃない？』;Scared? By that?
９月１１日;September 11
教室;Classroom
自宅前;In Front of Home
イルカショー;Dolphin Show
イルカって頭良いねぇ。』;Dolphins are smart, aren't they?
イルカってほ乳類なんだよ。』;Dolphins are mammals, you know.
イルカの歯って怖くない？』;Aren't dolphin teeth scary?
玄関;Entrance
スタジアム;Stadium
学校前;In Front of the School
桜並木;Cherry Blossom-Lined Path
だからこそ、美しいんだよ。』;That's precisely why it's beautiful.
それが自然の法則だからね。』;That's simply the law of nature.
道路が汚くなるんだよね。』;It makes the roads all dirty...
よし、―緒に帰ろう。』;Sure, let's walk home together.
恥ずかしいから、いいよ。』;It's a bit embarrassing...
スタジアム内;Inside the Stadium
実際にプレイするほうがいいな。』;I'd rather actually play.
野球嫌いだから。』;I hate baseball.
見てるほうがいいかな。』;Maybe it's better to just watch.
８月４日に神社で縁日があります;There's a festival at the shrine on August 4th.
この絵、片桐さんに似てない。』;Doesn't this painting look like you?
この絵、奇麗だと思わない？』;Don't you think this painting is beautiful?
あの人、奇麗だな⋯。』;That person is beautiful...
空いてるけど、何？』;I'm free then, what's up?
残念ながら、俺様は忙しいのだ。』;I'm afraid I must attend to important matters that day.
いいよ。―緒に行こう。』;Sure. Let's go together.
いや、遠慮しておくよ。』;Nah, I'll pass.
二人三脚』;Three-legged Race
玉転がし』;Ball-rolling Game
すごくおいしそうだね。』;Looks delicious...
そう、全然。』;Yes, absolutely.
水の中のアートだね。』;Art lives inside the water.
５月１６日;May 16
７９．５９．８２;79.59.82
バスケ部;Basketball Club
アニメと、プロレスが好み;Likes anime and pro wrestling.
花を見てると、心が和むね。』;Looking at flowers soothes the heart.
食べれるのかな。』;I wonder if it's edible.
どこにあるの？』;Where is it?
図書館内;Inside the Library
あーっ！みんな勉強してる！』;Ahh! Everyone is studying!
本当だ、静かだね。』;It really is quiet.
俺達も静かに勉強しよう。』;Let's study quietly too.
如月さんと乗るぜ。』;I'll ride with Kisaragi-san.
如月さんと入るぜ。』;I'll go in with Kisaragi-san.
誰にでも描けるんじゃない？』;Anyone can draw that, right?
片桐さん才能あるよ。』;Katagiri-san has talent.
頑張れば何とかなるよ。』;If you work hard enough, you'll manage.
京都．奈良』;Kyoto and Nara
沖縄』;Okinawa
北海道』;Hokkaido
修学旅行;School Trip
京都．奈良;Kyoto and Nara
ホテル．ロビー;Hotel Lobby
うん、―緒に行こう。』;Sure, let's go together.
いや、やめておくよ。』;I'd prefer not.
社寺巡り;Temple and Shrine Tour
恋愛小説』;Romance Novel
サンダル』;Sandals
ヘアーバンド』;Hairband
土産屋;Souvenir Shop
―緒に逃げよう。』;Quick, let's run!
ここは任せて、早く逃げて。』;Get somewhere safe, I'll handle this.
ボーリング場;Bowling Alley
８０．５９．８３;80.59.83
激しいスポーツはしない;I don't do extreme sports.
落ち着ける音楽が好み;I prefer calming music.
コンサート会場で、待ち合わせ』;Meet up at the concert hall.
ゲームセンターで、待ち合わせ』;Meet up at the game center.
コンサート会場で、;At the concert hall,
確かこの場所だった。』;I'm sure it was this place.
ゲームセンターだったかな。』;Was it the game center?
ビデオゲームコーナーに行く。』;Go play the video games.
メダルゲームコーナーに行く。』;Go play the token games.
ビデオゲームコーナー;Video Game Corner
別にかまわないよ。』;I don't really mind.
最近は、女の子も結構来てるよ。』;Lately, lots of girls have been coming to the arcade.
不良になっちゃう？』;Are you becoming a delinquent?
ガーギー画集輸入版』;Imported Gergi Artbook
香水』;Perfume
水中メガネ』;Swimming Goggles
ボーリング場で、待ち合わせ』;Meet at the bowling alley.
ショッピング街で、待ち合わせ』;Meet at the shopping district.
ボーリング場で、;At the bowling alley,
片桐さんには絶対取れないね。』;It's impossible to get it.
片桐さんなら取れるって。』;I know you can do it.
何とかなるんじゃない。』;It'll work out somehow.
もう満足した？』;Are you satisfied now?
いいね。行こうか。』;Sounds good. Shall we go?
ジャンク屋;Junk Shop
女のくせにおかしいぜ。』;It's weird for a girl.
フーン好きなんだ。』;Hmm, so you like it.
サイバーな感覚だよね。』;It has a "Cyber" kinda vibe, doesn't it?
そうだね、そう思うよ。』;Yeah, I think so too.
何億年も前の輝きなんだよね。』;It's a shine from eons ago.
あんなのただの光だよ。』;It's just light.
貧血の薬』;Anemia Medicine.
シェークスピア全集』;Complete Works of Shakespeare.
俺は、ちょっと怖かったよ。』;I was a little scared.
あれで？おかしいんじゃない。』;You really think so? That's ridiculous.
確かにすごかったね。』;It was certainly amazing.
校舎裏;Behind the School
Ｐ;P
９月 ５日;September 5th
７８．５８．７９;78.58.79
無所属;Independent
動物のぬいぐるみを集めてる;Collects animal stuffed toys.
赤面症で、男子の友達は少ない;Blushes easily and has few male friends.
それじゃ、絵でも描こうか？』;So, you wanna draw a picture?
そうだね。見て行こうよ。』;Yeah. Let's get a closer look.
幽霊でも出てきそうだよ。』;It feels like a ghost could appear.
彫塑展;Sculpture Exhibition
うん、素晴らしい作品だね。』;Yes, it's an excellent piece, isn't it?
俺は、隣のやつがいいな。』;I like the one next to it.
これはレプリカなのに？』;Even though it's a replica?
そうだね、奇麗だったね。』;Yes, it was beautiful.
進路指導;Career Guidance
俺は、進学したい。;I want to continue my education.
俺は、就職したい。;I want to get a job.
他の人の進路を調べる。;Check other people's career paths.
カラオケ;Karaoke
ＢＯＸ内;Karaoke BOX
８１．５９．８３;81.59.83
趣味は読書で、文学作品を好む;Hobbies include reading, especially literature.
全然駄目、基礎からやり直したら？』;Not good at all, maybe return to the basics?
わりといいんじゃない。』;That wasn't bad.
上手だったよ。プロみたい。』;You were great. You looked like a pro.
うん、詩織によく似合うよ。』;Yeah, it looks good on you.
でも、あれも結構可愛いよ。』;But that one is quite cute too.
闘魂ヒストリー大全』;Fighting Spirit History Encyclopedia
ビー玉』;Marble
リップ』;Lip Balm
８５．５７．８６;85.57.86
アクセサリーを集めてるらしい;Seems to collect accessories.
公園に行くのが好きなようだ;Seems to like going to parks.
８月３日に神社で縁日があります;There's a festival at the shrine on August 3rd.
動物園で、待ち合わせ』;Meet at the zoo.
スタジアムで、待ち合わせ』;Meet at the stadium.
スタジアムで、;At The Stadium
でも、痛そうだよ。』;But it looks painful.
インチキに決まってるよ。』;It's definitely a scam.
メラメラくるぜ。』;I'm getting fired up.
でも、目は怖いよ。』;But, the eyes are scary.
すげー、可愛くねぇ。』;Wow, that's not cute at all.
本当。可愛いよね。』;It's super cute, isn't it?
７９．５８．８０;79.58.80
幽霊話とかの話が好きらしい;They seem to like ghost stories and such.
うるさい音楽は、嫌いらしい;They seem to dislike loud music.
美樹原さんと―緒だからね。』;Because I'm here with you, Mikihara-san.
何か気分がいいね。』;I'm feeling good for some reason.
散歩は、お腹がすいてくるね。』;Going for a walk makes me hungry.
この絵、如月さんに似てるね。』;This picture looks like you, Kisaragi-san.
昇り龍乱れ七変化って奴だね。』;It's a thing called Soaring Dragon Chaotic Hydrangea.
線香花火の方がいいな。』;I prefer sparklers.
本当、奇麗だね。』;It really is beautiful.
ウサギの手ぶくろ』;Rabbit Gloves
力士のぬいぐるみ』;Sumo Wrestler Plush
なまこ』;Sea Cucumber
ポシェット』;Pochette
イヤリング』;Earrings
ホラー小説』;Horror Novel
ガーギー展;Gargi Exhibition
８６．６０．８７;86.60.87
水泳の授業の日は休みがち;Tends to skip swimming class.
グロテスクな絵、ポップスが好み;Likes grotesque paintings and pop music.
通信カラオケセット』;Networked Karaoke Machine
迷彩服』;Camouflage Clothes
ムンクの叫びの人形』;Munch's "The Scream" Doll
奇麗な花だねぇ。』;It's a beautiful flower, isn't it?
この弾丸が付いたのはどう？』;How about this one with a bullet?
このコアラのはどう？』;How about this koala one?
このカラフルなのはどう？』;How about this colorful one?
図書館で、待ち合わせ』;Meet at the library.
図書館だったかな。』;Was it the library?
Ｌ;L
よし、俺も頑張るぞ。』;Alright, I’ll do my best too.
くそ、いい気になりやがって。』;Damn, someone's getting cocky.
片桐さん、うますぎだよ。』;Katagiri-san, you’re too good.
ワンピース』;One-piece Dress
漫画本』;Comic Book
文芸小説』;Literary Novel
大学に試験を受けに行く;Take a university entrance exam
やめて、就職試験を受けに行く;Take a job interview instead
―流大学を受験する;Apply to a top-tier university
二流大学を受験する;Apply to a second-tier university
三流大学を受験する;Apply to a third-tier university
いい;Good
１１月１５日;November 15
９０．６０．８８;90.60.88
美人で俺好み;Beautiful, my type~
趣味はウィンドウショッピング;Hobbies include window shopping.
プール内;Pool
その水着可愛いね。』;That swimsuit is cute.
とても似合ってるよ。』;It suits you very well.
その水着セクシーだね。』;That swimsuit is sexy.
海岸;Coast
浜辺;Beach
俺、ファンなんだ。』;I'm a fan.
１０月１７日;October 17
８３．５９．８５;83.59.85
流行に敏感で、遊び歩く;Trendy, always out and about.
勉強は苦手で、うるさい;Not good at studying, noisy.
女の子でも誘って行こうかな？』;Should I invite a girl to come along?
―人で行こうかな？』;Should I go alone?
文芸部へ行く;Join the Literature Club
科学部へ行く;Join the Science Club
美術部へ行く;Join the Art Club
吹奏楽部へ行く;Join the Brass Bams
演劇部へ行く;Join the Drama Club
電脳部へ行く;Join the Computer Club
パソコン占い;Computer Fortune-telling
ヨーグルトきのこ』;Yogurt Mushrooms
ゲーム雑誌』;Game Magazine
俺も、そう思うよ。』;I think so too.
ガキなんじゃない？』;Aren’t you a kid?
朝日奈さんと―緒ならどこでも⋯。』;Anywhere with Asahina-san...
金の髪飾り』;Golden Hair Ornament
美少年写真集』;Pretty Boy Photo Collection
全自動ハボキ』;Fully Automatic Vacuum Cleaner
最近の流行の奴だよね。』;That's the latest trend.
この色もいいと思うよ。』;I think this color is nice too.
そう？』;Really?


ゲレンデ;Ski slope
ソリなら自信あるんだけどな。』;I'm confident if it's sledding.
スキーなら俺に任せてくれ。』;Leave the skiing to me.
とりあえず滑れるよ。』;I can at least ski.
ゲーマーって奴？』;Are you a gamer?
そんなの自慢にならないよ。』;That's nothing to brag about.
そうなんだ。すごいね。』;I see. That's amazing.
イルカって頭良いよねぇ。』;Dolphins are smart, aren't they?
本当、そう思うよ。』;I really think so.
あんなの子供だましだよ。』;That's child's play.'
もう―度乗ろうよ。』;Let's ride it one more time.'
８３．６０．８６;83.60.86
