Japanese text;English text
ゲーテの詩集がお気に入り;Fond of Goethe’s poetry collection.
前のページへ;To Previous Page
映画館;Movie Theater
コンサート会場;Concert Hall
プール;Swimming Pool
海;Sea
神社;Shrine
縁日;Festival
浴衣を誉める。';Compliment her yukata.
浴衣を誉めない。';Do not compliment her yukata.
音楽室;Music Room
自宅;Home
８月２３日;August 23rd
ＡＢ型;Type AB
言迷．言迷．言迷;Nooooo Idea.
私設部;Private Section
嫌い嫌い嫌い嫌い嫌い嫌い嫌い;Hate Hate Hate Hate Hate Hate
有名画家展;Famous Painter Exhibition
俺もファンなんだよ。';I'm also a fan.
こんな絵がいいの？';Do you like this kind of painting?
上手だよね。';It's good, isn’t it?
会場内;Inside The Venue
コンサート、つまらなかつたね？';That concert was boring, wasn't it?
コンサート、良かつたね？';That concert was good, wasn’t it?
コンサート、まあまあだつたね？';That concert was so-so, wasn’t it?
ベレー帽』;Beret
孫の手』;Back scratcher
すごく妖しげな本』;Suspicious-looking book
ファンシーショップ;Accessories Shop
でも、あれもいいんじゃない？』;But isn't that one good too?
全然、思わない。』;I don't think so at all.
うん、片桐さんによく似合うよ。』;Yeah, it looks good on you.
舞台裏;Backstage
館内;Inside The Building
今の映画、まあまあだつたね？』;That movie was so-so, right?
今の映画、つまらなかつたね？』;That movie was boring, right?
今の映画、面白かつたね？』;That movie was interesting, right?
並木道;Tree-lined Street
本当、気持ちいいね。』;Yeah, it's nice.
恋愛小説の―場面みたいだね。』;It's like a scene from a romance novel.
散歩は、お腹がすいてこない？』;Doesn't walking make you hungry?
伊集院邸;Ijuin Residence
パーティー会場;Party Hall
スケート場;Ice Skating Rink
スキー場;Ski Resort
正月;New Year
